CO_CODE,CO_NAME,F&O,[ISIN No,Current Live Rating,Current Live Restricted,As per new Rules,As per new Rules - Restricted,New Rules Rating (ex Symbol),New Rules Rating (ex Symbol) Restricted,New Rules Rating (ex ADTO),New Rules Rating (ex ADTO) Restricted,"New Rules Rating (ex Symbol, ex ADTO)",New Rules - Quick Rating,Poor_Reasons_Count,Percent_Funding,BSE_VAR_pct,NSE_VAR_pct,ANGEL_VAR_pct,Poor_Reasons,New Rules Restricted Reason,Mcap,[Total Shareholders Funds (Latest)],Revenue- Latest FY,6M Median ADTO in Rs crs,PET Check,F-Score,Promoter Pledge%,Impact Cost,BSE Series,NSE Series,Nifty 500,Aug 2025_ADTO in Rs crs,Sep 2025_ADTO in Rs crs,Oct 2025_ADTO in Rs crs,Poor_Alz_Manual,Poor_Alz_Manual_Comments,Poor_to_Avg_Manual,Good_BC_to_Avg_Manual,Manual_Rating,Rating v1 (as per rules),Latest_3M_ADTO_above_thresh,All Conditions Met (Except Size) + 50% of Average Size Criteria Met,Meeting Size Criteria_Poor,Size Exception for Poor to Average,"All Conditions of Good Met (Except ""Good"" Size)",Size Criteria_Average,Size Exception for Average to Good,ADTO_Wipsaw_Upgrade,Rating v2 (V1 wo adj for whipsaw),Rating v2 (V1 adj for whipsaw),MTF_VAR_pct,As per old Rules,As per old Rules - Restricted
3219,Pidilite Inds.,F&O,INE318A01026,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.130656633,12.5,12.5,12.5,,,147120.74,9754.46,13140.31,98.3064496,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,122.498642,90.6326542,92.4335384,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.5,Bluechip,
3272,Havells India,F&O,INE176B01034,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.134957863,12.65,12.65,12.65,,,93649.45,8323.79,21778.06,144.9041314,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,154.3364544,113.6981098,126.1088352,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.67,Bluechip,
3361,Mphasis,F&O,INE356A01018,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.096104981,16.16,16.13,16.16,,,52571.97,9628.39,14229.99,131.744737,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,123.6781188,139.8113552,111.9146752,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,22.98,Bluechip,
3392,Dabur India,F&O,INE016A01026,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.168613033,12.5,12.5,12.5,,,86538.34,10800.69,12563.09,138.915023,PET Good,F-Check Passed,0,0.02,A,EQ,Nifty 500,151.1434066,186.578276,137.1655336,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.5,Bluechip,
3616,Torrent Pharma.,F&O,INE685A01028,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.03631912,12.5,12.5,12.5,,,120450.71,7590.69,11516.09,117.680484,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,112.9559191,88.1530036,74.7861117,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.5,Bluechip,
3709,Federal Bank,F&O,INE171A01029,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.096674963,13.27,13.25,13.27,,,58228.64,34538.33,28106.08,168.438111,PET Good,F-Check Passed,0,0.02,A,EQ,Nifty 500,159.7510112,101.6595686,303.51024,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,20.27,Bluechip,
3722,Bajaj Finance,F&O,INE296A01032,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.552413871,13.81,13.65,13.81,,,648755.96,96692.87,69709.44,801.4559952,PET Good,F-Check Passed,0,0.01,A,EQ,Nifty 500,600.763088,839.0291136,763.8828768,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,20.67,Bluechip,
4244,Adani Enterp.,F&O,INE423A01024,Average,-,Average,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.08524175,19.66,19.66,30,,,286404.18,50313.97,97894.75,280.2055296,PET Good,F-Check Passed,0.9,0.02,A,EQ,Nifty 500,246.5264608,424.719288,215.0416248,,,,Downgraded_to_Average,Average,Bluechip,3,,,,,,,,Bluechip,Bluechip,35,Bluechip,
4248,LIC Housing Fin.,F&O,INE115A01026,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.317615662,14.85,14.8,14.85,,,31427.85,36351.79,28110.6,105.9823845,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,105.9508952,67.4345588,82.9124758,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,21.83,Bluechip,
4325,Sun Pharma.Inds.,F&O,INE044A01036,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.126335319,12.5,12.5,12.5,,,405451.62,72218.02,52578.44,437.0159248,PET Good,F-Check Passed,0.97,0.02,A,EQ,Nifty 500,458.915216,452.2443952,337.6914904,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.5,Bluechip,
4666,Aurobindo Pharma,F&O,INE406A01037,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.170136505,14.73,14.72,14.73,,,66717.9,32655.59,31723.73,145.4932652,PET Good,F-Check Passed,17.5,0.03,A,EQ,Nifty 500,181.8101712,161.4872696,147.8485128,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,21.65,Bluechip,
4679,KEI Industries,F&O,INE878B01027,Average,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.039146151,19.63,19.62,30,,,38506.49,5785.75,9735.88,143.9347912,PET Good,F-Check Passed,0,0.05,A,EQ,Nifty 500,89.413087,103.5207762,147.7021764,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,35,Bluechip,
4764,JSW Steel,F&O,INE019A01038,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.047835192,13.07,13.07,13.07,,,294933.98,79560,168824,187.819072,PET Good,F-Check Passed,12.47,0.03,A,EQ,Nifty 500,191.7335776,181.254328,183.9045664,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,20.09,Bluechip,
4987,HDFC Bank,F&O,INE040A01034,Bluechip,-,Good,,Good,,Good,,Good,Bluechip,0,0.892555259,12.5,12.5,12.5,,,1518679.14,521789.39,336367.43,1934.454102,,F-Check Passed,0,0.01,A,EQ,Nifty 500,1633.606278,1829.457818,2213.872544,,,,,Good,Good,3,,,,,,,,Good,Good,19.5,Bluechip,
5400,TCS,F&O,INE467B01029,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,1.734235824,12.5,12.5,12.5,,,1106338.8,94756,255324,923.5395936,PET Good,F-Check Passed,0,0.02,A,EQ,Nifty 500,915.3569664,865.9859968,1067.065082,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.5,Bluechip,
5418,ICICI Bank,F&O,INE090A01021,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,1.165778455,12.5,12.5,12.5,,,961127.86,313905.91,186331.46,1472.261198,PET Good,F-Check Passed,0,0.01,A,EQ,Nifty 500,1187.402842,1502.817792,1950.095846,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.5,Bluechip,
5452,Oil India,F&O,INE274J01014,Good,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.133601023,18.93,18.29,18.93,,,70480.92,49767.72,32512.48,106.0999986,PET Good,F-Check Passed,0,0.04,A,EQ,Nifty 500,93.2145378,88.93252,108.7562588,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,25.33,Bluechip,
5455,Power Grid Corpn,F&O,INE752E01010,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.226248269,13.01,13.05,13.05,,,267996.9,92662.81,45792.32,360.2889052,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,302.2168456,366.1000128,367.4604736,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,20.06,Bluechip,
5456,Bank of Baroda,F&O,INE028A01039,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.213446645,15.02,15.03,15.03,,,143919.01,146502.71,127944.77,258.4829308,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,145.9262232,250.9520872,266.0137744,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,22.02,Bluechip,
5471,Canara Bank,F&O,INE476A01022,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.377843016,15.82,15.88,15.88,,,124222.57,105416.76,121601.11,332.0752392,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,206.1279968,292.659416,443.87136,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,22.83,Bluechip,
5493,Union Bank (I),F&O,INE692A01016,Good,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.204991635,17.87,17.69,17.87,,,113397.21,113834.08,108417.27,194.9093752,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,133.8812872,130.518184,193.6720456,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,24.58,Bluechip,
5496,Maruti Suzuki,F&O,INE585B01010,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.117814217,12.5,12.5,12.5,,,509077.5,96239.9,152913,516.053592,PET Good,F-Check Passed,0,0.02,A,EQ,Nifty 500,715.1809232,876.345856,560.8672096,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.5,Bluechip,
5531,IndusInd Bank,F&O,INE095A01012,Good,-,Poor,,Poor,,Poor,,Poor,Bluechip,1,0.263805594,19.23,19.23,19.23,Promoter Pledge%,,61866.42,64835.68,48667.66,367.4044244,PET Good,F-Check Passed,50.86,0.02,A,EQ,Nifty 500,311.5343776,332.634796,329.1811216,,,,,Poor,Poor,3,No,3,,,,,,Poor,Poor,26.27,Bluechip,
5554,Axis Bank,F&O,INE238A01034,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.114321955,12.5,12.5,12.5,,,382623.89,187235.49,127374.09,774.965204,PET Good,F-Check Passed,0,0.02,A,EQ,Nifty 500,648.0031552,794.8833232,985.0239968,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.5,Bluechip,
5654,Bank of India,F&O,INE084A01016,Average,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.062508468,16.76,16.74,30,,,63669.06,80725.76,71307.71,118.9213074,PET Good,F-Check Passed,0,0.04,A,EQ,Nifty 500,66.4319196,85.472274,185.900916,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,35,Bluechip,
5656,HCL Technologies,F&O,INE860A01027,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.324162449,12.96,12.93,12.96,,,418284.34,69655,117055,434.6852464,PET Good,F-Check Passed,0,0.02,A,EQ,Nifty 500,480.535104,395.85272,365.0019552,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.95,Bluechip,
5982,RBL Bank,F&O,INE976G01028,Average,-,Good,,Good,,Good,,Good,Bluechip,0,0.056277455,19.44,19.44,30,,,20021.01,15669.53,14041.11,329.6795112,,F-Check Passed,0,0.05,A,EQ,Nifty 500,373.1276752,286.2313472,642.7511408,,,,,Good,Good,3,,,,,,,,Good,Good,35,Poor,
6061,Indian Bank,F&O,INE562A01011,Good,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.042261026,16.26,16.18,16.26,,,115704.21,71512.91,62039.43,123.59231,PET Good,F-Check Passed,0,0.04,A,EQ,Nifty 500,89.5757,112.9657768,186.2515224,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,23.22,Bluechip,
6068,O N G C,F&O,INE213A01029,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.377647302,14.04,13.98,14.04,,,321363.23,343440.48,612065.37,238.2907552,PET Good,F-Check Passed,0,0.02,A,EQ,Nifty 500,222.864728,209.963548,253.7167824,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,21,Bluechip,
6083,Manappuram Fin.,F&O,INE522D01027,Good,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.044841744,17.76,17.76,17.76,,,22756.4,12432.19,10007,104.2280968,PET Good,F-Check Passed,0,0.05,A,EQ,Nifty 500,120.6739564,106.7752,101.6809936,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,24.77,Bluechip,
6418,Phoenix Mills,F&O,INE211B01039,Good,-,Good,,Good,,Good,,Good,Good,0,0.024796578,18.41,18.18,18.41,,,60043.32,10448.14,3813.57,111.3505052,PET Good,F-Check Passed,0,0.05,A,EQ,Nifty 500,91.9485314,110.9825856,93.6824136,,,,,Good,Good,3,,,,,,,,Good,Good,25.21,Bluechip,
6890,DLF,F&O,INE271C01023,Bluechip,-,Good,,Good,,Good,,Good,Bluechip,0,0.257763545,15.62,15.58,15.62,,,187183.07,42550.22,7993.66,198.7382196,,F-Check Passed,0,0.03,A,EQ,Nifty 500,193.9155372,183.9452504,175.3445316,,,,,Good,Good,3,,,,,,,,Good,Good,22.55,Good,
7855,Punjab Natl.Bank,F&O,INE160A01022,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.421369423,15.66,15.7,15.7,,,141248.27,133137.96,124009.85,263.8226652,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,163.7798576,163.3966088,259.3333136,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,22.69,Bluechip,
8029,TVS Motor Co.,F&O,INE494B01023,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.181183099,13.67,13.69,13.69,,,166646.31,8503.38,44089.01,250.5823392,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,393.3176496,252.1254616,270.900096,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,20.71,Bluechip,
8036,United Spirits,F&O,INE854D01024,Good,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.210158445,12.73,12.73,12.73,,,104069.36,8104,12069,156.202779,PET Good,F-Check Passed,1.18,0.03,A,EQ,Nifty 500,159.4753048,132.3037824,170.7887032,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.68,Bluechip,
12001,NTPC,F&O,INE733E01010,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.389438105,12.86,12.85,12.86,,,326632.2,184071.16,188138.06,330.0054352,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,337.8230976,320.2736352,322.1877728,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.81,Bluechip,
12002,I O C L,F&O,INE242A01010,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.437012309,14.22,14.16,14.22,,,234271.34,186487.32,758105.81,198.1517,PET Good,F-Check Passed,0,0.02,A,EQ,Nifty 500,139.6380064,129.321364,247.086448,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,21.17,Bluechip,
12019,Coal India,F&O,INE522F01014,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.784352558,12.74,12.73,12.74,,,239545.25,99104.92,143368.92,257.5494148,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,248.0867792,207.7609632,283.3153456,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.75,Bluechip,
12024,Life Insurance,F&O,INE0J1Y01017,Good,-,Good,,Good,,Good,,Good,Bluechip,0,0.245484987,13.83,13.78,13.83,,,565897.54,127226.39,889970.02,101.6311178,,F-Check Passed,0,0.03,A,EQ,Nifty 500,105.1088468,98.1533888,96.1979048,,,,,Good,Good,3,,,,,,,,Good,Good,20.81,Bluechip,
12030,Hind.Aeronautics,F&O,INE066F01020,Good,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,1.407794595,16.45,16.52,16.52,,,313083.67,34981.61,30980.95,612.6761856,PET Good,F-Check Passed,0,0.02,A,EQ,Nifty 500,616.7861952,608.566176,428.3263968,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,23.55,Bluechip,
12059,NMDC,F&O,INE584A01023,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.258055154,16.61,16.33,16.61,,,66624.39,29695.77,23905.52,151.3992416,PET Good,F-Check Passed,0,0.04,A,EQ,Nifty 500,123.2820016,184.4357704,136.8252528,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,23.36,Bluechip,
12068,Power Fin.Corpn.,F&O,INE134E01011,Bluechip,-,Good,,Good,,Good,,Good,Bluechip,0,0.646003337,18.16,18.05,18.16,,,133076.6,117738.35,107106.4,246.2759008,,F-Check Passed,0,0.03,A,EQ,Nifty 500,245.252212,148.9610556,217.0242368,,,,,Good,Good,3,,,,,,,,Good,Good,25.09,Bluechip,
12197,H U D C O,F&O,INE031A01017,Good,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.44022124,21.36,21.36,21.36,,,47404.99,17968.05,10344.63,99.662824,PET Good,F-Check Passed,0,0.05,A,EQ,Nifty 500,76.2737808,95.9286456,103.3970024,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,28.4,Bluechip,
12295,Uno Minda,F&O,INE405E01023,Average,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.010831302,17.39,17.47,30,,,71151.36,5727.2,16774.61,94.7668333,PET Good,F-Check Passed,0,0.05,A,EQ,Nifty 500,144.315916,100.269666,116.5924532,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,35,Bluechip,
12334,APL Apollo Tubes,F&O,INE702C01027,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.045844553,14.8,14.78,14.8,,,49742.66,4208.72,22133.64,114.4760855,PET Good,F-Check Passed,0,0.04,A,EQ,Nifty 500,110.6002464,84.2956581,93.8266476,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,21.81,Bluechip,
12350,GAIL (India),F&O,INE129A01019,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.443133624,15.52,15.45,15.52,,,120192.82,84997.55,141903.49,197.9541024,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,176.234008,158.9306592,174.6665408,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,22.48,Bluechip,
12521,Page Industries,F&O,INE761H01022,Good,-,Good,,Good,,Good,,Good,Good,0,0.053013074,13.04,13.03,13.04,,,45922.51,1407.19,5169.49,103.3150167,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,133.3259322,85.2082848,80.4255836,,,,,Good,Good,3,,,,,,,,Good,Good,20.05,Good,
12584,NHPC Ltd,F&O,INE848E01016,Good,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.340250094,16.32,16.33,16.33,,,85201.99,39668.16,10404.61,118.1471536,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,85.6026476,127.1298776,109.1644296,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,23.35,Bluechip,
12585,Marico,F&O,INE196A01026,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.050434851,12.5,12.5,12.5,,,93496.8,3975,12545,146.3264806,PET Good,F-Check Passed,2.03,0.03,A,EQ,Nifty 500,164.6792192,148.0330272,113.3024684,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.5,Bluechip,
12607,Container Corpn.,F&O,INE111A01025,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.320316818,15.06,15.26,15.26,,,41534.83,12404.44,9045.27,83.1753664,PET Good,F-Check Passed,0,0.04,A,EQ,Nifty 500,79.0146052,87.3361276,54.2207532,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,22.29,Bluechip,
12854,I R F C,F&O,INE053F01010,Good,-,Good,Restricted,Good,,Good,,Good,Bluechip,0,0.880600702,18.52,18.51,18.52,,,161134.68,52667.77,27152.94,139.676158,,F-Check Passed,0,0.03,A,EQ,Nifty 500,113.9563608,119.6928536,101.0250824,,,,,Good,Good,3,,,,,,,,Good,Good,25.55,Poor,
12963,Mazagon Dock,F&O,INE249Z01020,Good,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,1.415637176,23.62,23.6,23.62,,,110082.4,7939.88,11431.88,489.8532368,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,431.667456,466.3524544,267.1740544,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,30.65,Bluechip,
13105,Oracle Fin.Serv.,F&O,INE881D01027,Good,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.291694756,17.37,17.26,17.37,,,74079.29,8362.4,6846.8,126.9509112,PET Good,F-Check Passed,0,0.04,A,EQ,Nifty 500,77.2826908,245.0353584,135.774704,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,24.29,Bluechip,
13166,NBCC,F&O,INE095N01031,Good,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.26723252,21.23,21.13,21.23,,,31711.5,2479.06,12038.57,108.7789696,PET Good,F-Check Passed,0,0.05,A,EQ,Nifty 500,69.39962,112.3926872,105.165252,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,28.17,Bluechip,
13212,Prestige Estates,F&O,INE811K01011,Good,-,Good,,Good,,Good,,Good,Bluechip,0,0.036379651,19.09,19.09,19.09,,,75168.89,15423,7349.4,122.4775586,PET Good,,0,0.05,A,EQ,Nifty 500,104.7476596,107.6200464,137.2156208,,,,,Good,Good,3,,,,,,,,Good,Good,26.13,Bluechip,
13660,Cyient,F&O,INE136B01020,Good,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.107812935,18.15,18.13,18.15,,,12909.81,5309.5,7360.4,56.0398734,PET Good,F-Check Passed,0,0.04,A,EQ,Nifty 500,40.532106,52.5608918,65.1097276,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,25.16,Bluechip,
13872,Suzlon Energy,F&O,INE040H01021,Poor,-,Good,,Good,,Good,,Good,Bluechip,0,7.41475E-05,20.52,20.49,100,,,80686.22,6105.72,10889.74,478.711904,,F-Check Passed,0,0.03,A,EQ,Nifty 500,555.6647616,317.0828416,420.2177664,,,,,Good,Good,3,,,,,,,,Good,Good,0,Bluechip,
14548,Jubilant Food.,F&O,INE797F01020,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.144108435,14.64,14.63,14.64,,,39478.54,2102.75,8141.73,104.8670114,PET Good,F-Check Passed,0.83,0.04,A,EQ,Nifty 500,112.9646468,96.9350664,83.5661056,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,21.6,Bluechip,
14801,Biocon,F&O,INE376G01013,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.111832061,16.4,16.41,16.41,,,49735.05,21644,15261.7,117.2036664,PET Good,F-Check Passed,0,0.04,A,EQ,Nifty 500,126.2717068,104.4867776,84.7867704,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,23.43,Bluechip,
15542,Bharti Airtel,F&O,INE397D01024,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.201688316,12.5,12.5,12.5,,,1233188.84,113671.9,172985.2,1135.996355,PET Good,F-Check Passed,0,0.02,A,EQ,Nifty 500,1885.756429,930.7270528,1005.104995,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.5,Bluechip,
15550,Indian Renewable,F&O,INE202E01016,Average,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.180540935,20.27,20.48,30,,,42686.27,10266.54,6754.93,160.7887736,PET Good,F-Check Passed,0,0.04,A,EQ,Nifty 500,80.53322,128.3840888,166.3917472,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,35,Bluechip,
15613,Godrej Propert.,F&O,INE484J01027,Good,-,Good,,Good,,Good,,Good,Good,0,0.090652477,18.12,18.12,18.12,,,68973.24,17312.46,4922.84,175.8167868,PET Good,F-Check Passed,0,0.04,A,EQ,Nifty 500,171.6659024,114.6556996,136.979196,,,,,Good,Good,3,,,,,,,,Good,Good,25.16,Bluechip,
16474,PNB Housing,F&O,INE572E01012,Good,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.102522305,20.05,19.89,20.05,,,24186.92,16863.13,7685.13,159.290263,PET Good,F-Check Passed,0,0.05,A,EQ,Nifty 500,383.1356752,169.9513888,122.3217488,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,26.93,Bluechip,
17215,Tech Mahindra,F&O,INE669C01036,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.351332477,13.24,13.19,13.24,,,139575.62,27361.5,52988.3,269.7226948,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,249.962214,273.8798456,240.9912064,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,20.21,Bluechip,
17540,Bharat Dynamics,F&O,INE171Z01026,Good,-,Good,,Good,,Good,,Good,Good,0,0.523029418,21.38,21.14,21.38,,,56080.4,4008.95,3345.05,329.4286256,PET Good,F-Check Passed,0,0.04,A,EQ,Nifty 500,290.037792,259.9194448,166.9879336,,,,,Good,Good,3,,,,,,,,Good,Good,28.19,Bluechip,
18075,REC Ltd,F&O,INE020B01018,Bluechip,-,Good,,Good,,Good,,Good,Bluechip,0,0.933666331,18.5,18.46,18.5,,,98745.9,78376.06,56368.53,277.7317336,,F-Check Passed,0,0.03,A,EQ,Nifty 500,217.8505216,155.2907128,236.5702416,,,,,Good,Good,3,,,,,,,,Good,Good,25.49,Bluechip,
18105,LTIMindtree,F&O,INE214T01019,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.116392555,14.19,14.18,14.19,,,168576.37,22698.3,38008.1,142.9628824,PET Good,F-Check Passed,0,0.04,A,EQ,Nifty 500,116.063724,139.678708,161.9475508,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,21.21,Bluechip,
18286,Persistent Systems,F&O,INE262H01021,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.224191221,17.3,17.46,17.46,,,93298.87,6319.07,11938.72,285.5078648,PET Good,F-Check Passed,0,0.04,A,EQ,Nifty 500,231.4637712,290.5889928,308.210572,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,24.5,Bluechip,
