CO_CODE,CO_NAME,F&O,[ISIN No,Current Live Rating,Current Live Restricted,As per new Rules,As per new Rules - Restricted,New Rules Rating (ex Symbol),New Rules Rating (ex Symbol) Restricted,New Rules Rating (ex ADTO),New Rules Rating (ex ADTO) Restricted,"New Rules Rating (ex Symbol, ex ADTO)",New Rules - Quick Rating,Poor_Reasons_Count,Percent_Funding,BSE_VAR_pct,NSE_VAR_pct,ANGEL_VAR_pct,Poor_Reasons,New Rules Restricted Reason,Mcap,[Total Shareholders Funds (Latest)],Revenue- Latest FY,6M Median ADTO in Rs crs,PET Check,F-Score,Promoter Pledge%,Impact Cost,BSE Series,NSE Series,Nifty 500,Aug 2025_ADTO in Rs crs,Sep 2025_ADTO in Rs crs,Oct 2025_ADTO in Rs crs,Poor_Alz_Manual,Poor_Alz_Manual_Comments,Poor_to_Avg_Manual,Good_BC_to_Avg_Manual,Manual_Rating,Rating v1 (as per rules),Latest_3M_ADTO_above_thresh,All Conditions Met (Except Size) + 50% of Average Size Criteria Met,Meeting Size Criteria_Poor,Size Exception for Poor to Average,"All Conditions of Good Met (Except ""Good"" Size)",Size Criteria_Average,Size Exception for Average to Good,ADTO_Wipsaw_Upgrade,Rating v2 (V1 wo adj for whipsaw),Rating v2 (V1 adj for whipsaw),MTF_VAR_pct,As per old Rules,As per old Rules - Restricted
282,Indian Hotels Co,F&O,INE053A01029,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.230359556,15.05,15.06,15.06,,,105640.02,11160.71,8334.54,216.7800832,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,205.9255144,199.37374,153.184606,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,22.08,Bluechip,
301,ITC,F&O,INE154A01025,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.683747877,12.5,12.5,12.5,,,526482.38,70030.05,75323.34,603.6131368,PET Good,F-Check Passed,0,0.02,A,EQ,Nifty 500,612.429768,594.7965056,644.208864,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.5,Bluechip,
337,Cummins India,F&O,INE298A01020,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.053214399,15.1,15.07,15.1,,,120361.63,7561.4,10390.69,181.0874317,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,266.4725568,160.800516,164.4365224,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,22.09,Bluechip,
345,Trent,F&O,INE849A01020,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,1.200918229,18.34,18.33,18.34,,,166851.59,5461.74,17134.61,558.7173952,PET Good,F-Check Passed,0,0.02,A,EQ,Nifty 500,575.3223664,510.551128,426.9186176,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,25.36,Bluechip,
348,Larsen & Toubro,F&O,INE018A01030,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.540711064,12.53,12.52,12.53,,,554524.16,97655.6,255734.45,686.5490448,PET Good,F-Check Passed,0,0.02,A,EQ,Nifty 500,694.4410656,668.2854912,814.6824448,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.53,Bluechip,
365,M & M,F&O,INE101A01026,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.43566295,14.66,14.66,14.66,,,433537.67,81114.13,159210.82,875.5657408,PET Good,F-Check Passed,0.02,0.01,A,EQ,Nifty 500,933.331888,1090.902592,728.2115136,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,21.69,Bluechip,
372,Max Financial,F&O,INE180A01020,Good,-,Good,,Good,,Good,,Good,Bluechip,0,0.017831223,13.43,13.43,13.43,,,53353.02,5274.52,46469.34,107.4688294,,F-Check Passed,0,0.03,A,EQ,Nifty 500,88.0115944,86.0750782,99.3476152,,,,,Good,Good,3,,,,,,,,Good,Good,20.46,Good,
378,Bosch,F&O,INE323A01026,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.184120863,12.68,12.78,12.78,,,109867.35,13813.3,18087.4,103.2302657,PET Good,F-Check Passed,0,0.04,A,EQ,Nifty 500,178.3629324,121.1685728,74.5977364,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.8,Bluechip,
476,Reliance Industr,F&O,INE002A01018,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,1.869195085,12.5,12.5,12.5,,,2011601.5,843200,964693,1656.57047,PET Good,F-Check Passed,0,0.01,A,EQ,Nifty 500,1509.112179,1421.86679,1802.783629,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.5,Bluechip,
502,Vedanta,F&O,INE205A01025,Good,-,Average,,Poor,,Poor,,Poor,Bluechip,1,0.639843827,16.29,16,16.29,Promoter Pledge%,,193016.75,41212,152968,411.546788,PET Good,F-Check Passed,99.99,0.02,A,EQ,Nifty 500,348.608728,500.03688,583.3173152,,,Upgraded_to_Average,,Average,Poor,3,No,3,,,,,,Poor,Poor,22.97,Bluechip,
508,Shree Cement,F&O,INE070A01015,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.057059202,12.5,12.5,12.5,,,102066.48,21537.75,19282.83,105.3299438,PET Good,F-Check Passed,0,0.04,A,EQ,Nifty 500,102.1887865,108.471101,68.2751057,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.5,Bluechip,
513,SRF,F&O,INE647A01010,Good,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.040842393,14,14.01,14.01,,,86775.4,12626.2,14693.07,147.3567028,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,134.3895264,73.6087162,144.4339752,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,21.01,Bluechip,
514,Siemens,F&O,INE003A01024,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.162976356,16.77,16.51,16.77,,,110272.71,15356.7,22239.7,153.3556336,PET Good,F-Check Passed,0,0.04,A,EQ,Nifty 500,148.0263048,125.2181292,81.5087404,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,23.54,Bluechip,
541,Supreme Inds.,F&O,INE195A01028,Good,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.101729424,17.32,17.32,17.32,,,48418.83,5660.44,10446.25,104.1736382,PET Good,F-Check Passed,0,0.04,A,EQ,Nifty 500,75.0755818,72.9346742,121.1556192,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,24.36,Bluechip,
