CO_CODE,CO_NAME,[ISIN_No,Current_Live_Rating,Current_Live_Restricted,As_per_new_Rules,As_per_new_Rules_-_Restricted,New_Rules_Rating_(ex_Symbol),New_Rules_Rating_(ex_Symbol)_Restricted,New_Rules_Rating_(ex_ADTO),New_Rules_Rating_(ex_ADTO)_Restricted,"New_Rules_Rating_(ex_Symbol,_ex_ADTO)",New_Rules_-_Quick_Rating,Poor_Reasons_Count,Percent_Funding,BSE_VAR_pct,NSE_VAR_pct,ANGEL_VAR_pct,Poor_Reasons,New_Rules_Restricted_Reason,Mcap,[Total_Shareholders_Funds_(Latest)],Revenue-_Latest_FY,Median6M_ADTO_in_Rs_crs,PET_Check,F-Score,Promoter_Pledge%,Impact_Cost,BSE_Series,NSE_Series,Aug_2025_ADTO_in_Rs_crs,Sep_2025_ADTO_in_Rs_crs,Oct_2025_ADTO_in_Rs_crs,Poor_Alz_Manual,Poor_Alz_Manual_Comments,Poor_to_Avg_Manual,Good_BC_to_Avg_Manual,Manual_Rating,BSE_symbol_downgrade?,NSE_symbol_downgrade?,Market_Cap/ISIN,Rating_v1_(as_per_rules),Restricted,Latest_3M_ADTO_above_thresh,All_Conditions_Met_(Except_Size)_+_50%_of_Average_Size_Criteria_Met,Meeting_Size_Criteria_Poor,Size_Exception_for_Poor_to_Average,"All_Conditions_of_Good_Met_(Except_""Good""_Size)",Size_Criteria_Average,Size_Exception_for_Average_to_Good,All_conditions_met_Except_ADTO,Size_Criteria_for_ADTO_Upgrade,ADTO_>_0.5_Cr,ADTO_Upgrade_(Poor_to_Average),ADTO_Wipsaw_Upgrade,Rating_v2_(V1_wo_adj_for_whipsaw),Rating_v2_(V1_adj_for_whipsaw),Last_Trading_Date?,Not_traded?,MTF_VAR_pct,As_per_old_Rules,As_per_old_Rules_-_Restricted
6,ACC,INE012A01025,Good,-,Good,,Good,,Good,,Good,Good,0,0.135513924,12.87,12.88,12.88,,,35328.42,18554.84,21762.31,71.7776426,PET Good,F-Check Passed,0,0.03,A,EQ,70.8498516,41.8078012,45.8802226,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,26.89,Good,
8,Advance Petroch.,INE334N01018,Poor,Restricted,Poor,Restricted,Poor,,Poor,,Poor,Poor,6,,78.5,78.5,100,"Mcap , Shareholders Fund , ADTO in Cr , Rev , BSE symbol downgrade , Not traded",ADTO in Cr,15.53,4.04,49.94,0.001920964,PET Good,F-Check Passed,0,,X,,0.002008046,0.001518189,0.003056067,,,,,Poor,Yes,No,No,Poor,Restricted,0,No,0,,,,,No,0,No,,,Poor,Poor,23/10/2025,Yes,0,Poor,
9,Aegis Logistics,INE208C01025,Good,-,Good,,Good,,Good,,Good,Good,0,0.0786746,23.5,23.5,23.5,,,26342.55,4630.82,6763.79,76.1546661,PET Good,F-Check Passed,0,0.04,A,EQ,23.7358664,93.0247364,90.0647332,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,37.51,Good,
11,Alfred Herbert,INE782D01027,Poor,Restricted,Poor,Restricted,Poor,,Poor,,Poor,Poor,4,,100,100,100,"ADTO in Cr , Impact Cost , Rev , BSE symbol downgrade",ADTO in Cr,250.25,122.51,10.44,0.065761053,PET Good,F-Check Passed,0,3,XT,EQ,0.3199444,0.079570981,0.021022766,,,,,Poor,Yes,No,No,Poor,Restricted,0,No,1,,,,,No,0,No,,,Poor,Poor,31/10/2025,No,0,Poor,
14,Ambalal Sarabhai,INE432A01017,Poor,-,Poor,,Poor,,Poor,,Poor,Poor,3,,23.07,23.08,100,"ADTO in Cr , Rev , BSE symbol downgrade",,249.44,139.97,196.19,0.2594804,PET Good,F-Check Passed,0,0.54,X,EQ,0.2136685,0.31143695,0.2690769,,,,,Poor,Yes,No,No,Poor,,0,No,1,,,,,No,0,No,,,Poor,Poor,31/10/2025,No,0,Average,
17,Amrutanjan Healt,INE098F01031,Average,-,Average,,Average,,Average,,Average,Average,0,0.000761179,14.9,14.91,30,,,2095.15,326.61,451.82,1.680543482,PET Good,F-Check Passed,0,0.22,B,EQ,1.383394288,2.097822213,1.424621363,,,,,Average,No,No,No,Average,,3,,,,No,1,,,,,,,Average,Average,31/10/2025,No,35,Average,
19,Andhra Cements,INE666E01020,Poor,-,Poor,,Poor,,Poor,,Average,Average,4,,100,100,100,"ADTO in Cr , F-Score , NSE symbol downgrade , BSE symbol downgrade",,672.76,144.55,274.05,0.283535956,PET Good,,26.39,0.56,T,BE,0.697417038,0.884397313,0.151634844,,,,,Poor,Yes,Yes,No,Poor,,0,No,1,,,,,No,1,No,,,Poor,Poor,31/10/2025,No,0,Average,
20,Andhra Paper,INE435A01051,Average,-,Average,,Average,,Good,,Good,Good,0,0.000752486,16.2,16.7,30,,,1546.06,1940.83,1541.24,1.546393288,PET Good,F-Check Passed,0,0.21,B,EQ,3.825574325,1.588838663,1.503947913,,,,,Average,No,No,No,Average,,3,,,,No,3,,,,,,,Average,Average,31/10/2025,No,35,Good,
23,Apollo Tyres,INE438A01022,Good,-,Good,,Good,,Good,,Good,Good,0,0.039514268,14.3,14.26,14.3,,,31853.49,14765.7,26123.42,57.4566257,PET Good,F-Check Passed,0.05,0.03,A,EQ,29.7709274,73.5663596,56.1487196,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,28.29,Good,
24,Utique Enterp.,INE096A01010,Poor,Restricted,Poor,Restricted,Poor,,Poor,,Poor,Poor,7,,25,25,100,"Mcap , Shareholders Fund , ADTO in Cr , Impact Cost , Rev , PET Check , BSE symbol downgrade",ADTO in Cr,31.46,69.94,103.63,0.011918557,,F-Check Passed,0,4.44,X,EQ,0.010536919,0.010684413,0.013762767,,,,,Poor,Yes,No,No,Poor,Restricted,0,No,0,,,,,No,0,No,,,Poor,Poor,31/10/2025,No,0,Poor,
25,Aravali Sec,INE068C01015,Poor,Restricted,Poor,Restricted,Poor,,Poor,,Poor,Poor,8,,25.88,25.88,100,"Mcap , Shareholders Fund , ADTO in Cr , Impact Cost , Rev , PET Check , F-Score , BSE symbol downgrade",ADTO in Cr,6.95,-0.93,0.02,0.000483602,,,0,3.35,X,EQ,0.000110386,0.000578527,0.00232169,,,,,Poor,Yes,No,No,Poor,Restricted,0,No,0,,,,,No,0,No,,,Poor,Poor,31/10/2025,No,0,Poor,Restricted
28,Aruna Hotels,INE957C01019,Poor,Restricted,Poor,Restricted,Poor,,Poor,,Poor,Poor,6,,25,25,100,"Mcap , Shareholders Fund , ADTO in Cr , Impact Cost , Rev , BSE symbol downgrade",ADTO in Cr,29.05,30.37,23.67,0.011341715,PET Good,F-Check Passed,0,5,X,EQ,0.007877771,0.013917655,0.007169309,,,,,Poor,Yes,No,No,Poor,Restricted,0,No,0,,,,,No,0,No,,,Poor,Poor,31/10/2025,No,0,Poor,
29,Arvind Ltd,INE034A01011,Good,-,Good,,Good,,Good,,Good,Good,0,0.020134263,19.56,19.53,19.56,,,8356.21,3786.1,8328.81,12.5855345,PET Good,F-Check Passed,7.24,0.06,A,EQ,11.8093559,11.4455745,12.2096724,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,33.57,Good,
33,Asian Hotels (N),INE363A01022,Poor,-,Poor,,Poor,,Poor,,Poor,Average,2,,25,25,100,"ADTO in Cr , Impact Cost",,650.52,262.34,318.19,0.249384855,PET Good,F-Check Passed,0,2.14,B,EQ,0.304544144,1.233675694,0.612496436,,,,,Poor,No,No,No,Poor,,1,No,3,,,,,No,1,No,,,Poor,Poor,31/10/2025,No,0,Average,
37,SKF India,INE640A01023,Good,-,Good,,Good,,Good,,Good,Good,0,0.003832119,12.64,12.5,12.64,,,10600.49,2597.97,4919.92,20.04899455,PET Good,F-Check Passed,0,0.05,A,EQ,14.013387,19.8395336,11.84677905,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,26.5,Good,
38,Asi Industries,INE443A01030,Poor,-,Poor,Restricted,Poor,,Poor,,Poor,Poor,4,,26.29,26.29,100,"ADTO in Cr , Impact Cost , Rev , BSE symbol downgrade",ADTO in Cr,298.42,352.53,154.77,0.114546076,PET Good,F-Check Passed,0,1.22,X,EQ,0.111467888,0.129527675,0.064221925,,,,,Poor,Yes,No,No,Poor,Restricted,0,No,2,,,,,No,1,No,,,Poor,Poor,31/10/2025,No,0,Average,
39,Astrazeneca Phar,INE203A01020,Average,-,Good,,Good,,Good,,Good,Good,0,0.003212491,18.45,18.44,30,,,23838.63,770.35,1716.29,22.14104933,PET Good,F-Check Passed,0,0.07,A,EQ,29.8214454,14.46065325,10.83865905,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,35,Good,
42,Atlas Cycles,INE446A01025,Poor,Restricted,Poor,Restricted,Poor,,Poor,,Poor,Poor,3,,32.53,32.54,100,"Mcap , ADTO in Cr , Rev",ADTO in Cr,73.49,387.55,17.14,0.109225267,PET Good,F-Check Passed,0,0.92,B,EQ,0.103298729,0.115151804,0.097563865,,,,,Poor,No,No,No,Poor,Restricted,0,No,1,,,,,No,1,No,,,Poor,Poor,31/10/2025,No,0,Poor,
43,Atul,INE100A01010,Good,-,Good,,Good,,Good,,Good,Good,0,0.052218284,14.58,14.57,14.58,,,16975.38,5598.55,5583.35,28.51787608,PET Good,F-Check Passed,0.98,0.04,A,EQ,25.67170605,14.6883072,25.4453189,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,28.6,Good,
44,Auto.Corp.of Goa,INE451C01013,Poor,-,Poor,,Poor,,Poor,,Average,Average,2,,22.91,22.91,100,"ADTO in Cr , BSE symbol downgrade",,1131.84,253.74,660.77,0.415670238,PET Good,F-Check Passed,0,0.65,X,EQ,1.0156964,0.4447614,0.6309925,,,,,Poor,Yes,No,No,Poor,,1,No,3,,,,,No,2,No,,,Poor,Poor,31/10/2025,No,0,Average,
50,Bajaj Holdings,INE118A01012,Good,-,Average,,Average,,Average,,Average,Average,0,0.144901009,16.39,16.4,16.4,,,136968.5,62687.55,739.24,85.555889,,F-Check Passed,0,0.04,A,EQ,92.359794,78.751984,69.1950184,,,,,Average,No,No,No,Average,,3,,,,No,2,,,,,,,Average,Average,31/10/2025,No,30.42,Good,
51,Bajaj Electrical,INE193E01025,Good,-,Good,,Good,,Good,,Good,Good,0,0.048658957,15.64,15.8,15.8,,,5921.37,1725.12,4828.43,7.352186713,PET Good,F-Check Passed,2.55,0.15,A,EQ,3.98525125,59.2639248,10.302097,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,29.77,Good,
53,Force Motors,INE451A01017,Average,-,Good,,Good,,Good,,Good,Good,0,0.060910483,25.62,26.12,30,,,23247.8,3033.43,8071.73,209.291028,PET Good,F-Check Passed,0,0.06,A,EQ,212.2225776,232.2217072,159.396576,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,40.12,Good,
54,Sanathnagar Ent.,INE367E01033,Poor,Restricted,Poor,Restricted,Poor,,Poor,,Poor,Poor,8,,28.86,29.06,100,"Mcap , Shareholders Fund , ADTO in Cr , Impact Cost , Rev , PET Check , F-Score , BSE symbol downgrade",ADTO in Cr,11.62,-12.47,0,0.004039968,,,0,4.52,X,EQ,0.00175569,0.003002864,0.00864769,,,,,Poor,Yes,No,No,Poor,Restricted,0,No,0,,,,,No,0,No,,,Poor,Poor,31/10/2025,No,0,Poor,Restricted
55,Balkrishna Inds,INE787D01026,Good,-,Good,,Good,,Good,,Good,Good,0,0.038121199,14.25,14.25,14.25,,,44109.18,10387.6,10446.95,70.7879757,PET Good,F-Check Passed,0,0.04,A,EQ,64.7691306,45.5515768,33.9655064,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,28.24,Good,
57,Bannari Amm.Sug.,INE459A01010,Poor,-,Average,,Poor,,Good,,Good,Good,1,,15.32,15.31,100,ADTO in Cr,,4497.99,1778.89,1792.97,0.800497424,PET Good,F-Check Passed,0,0.37,B,EQ,0.198279002,0.413694075,1.032432,,,,,Average,No,No,No,Poor,,1,No,3,,,,,Yes,3,Yes,Upgrade,,Average,Average,31/10/2025,No,0,Good,
58,Baroda Rayon,INE461A01024,Poor,Restricted,Poor,Restricted,Poor,,Poor,,Poor,Poor,5,,25,25,100,"ADTO in Cr , Impact Cost , Rev , PET Check , BSE symbol downgrade",ADTO in Cr,305.64,372.3,99.6,0.015859281,,F-Check Passed,0,2.52,X,EQ,0.0136803,0.014179414,0.013578781,,,,,Poor,Yes,No,No,Poor,Restricted,0,No,2,,,,,No,2,No,,,Poor,Poor,31/10/2025,No,0,Poor,Restricted
59,BASF India,INE373A01013,Good,-,Good,,Good,,Good,,Good,Good,0,0.037853595,17.7,17.7,17.7,,,19103.25,3634.28,15260,13.29432103,PET Good,F-Check Passed,0,0.07,A,EQ,13.0318444,4.662545,5.496318425,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,31.73,Good,
60,Bata India,INE176A01028,Good,-,Good,,Good,,Good,,Good,Good,0,0.046746086,13.56,13.56,13.56,,,13774.94,1574.96,3488.79,24.973002,PET Good,F-Check Passed,0,0.05,A,EQ,28.6684802,41.838598,32.472287,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,27.59,Good,
61,Batliboi,INE177C01022,Poor,-,Poor,,Poor,,Poor,,Poor,Average,2,,26.72,26.72,100,"ADTO in Cr , BSE symbol downgrade",,533.12,229.35,412.94,0.48335335,PET Good,F-Check Passed,0,,X,,0.3423032,0.25642195,0.39894505,,,,,Poor,Yes,No,No,Poor,,0,No,3,,,,,No,1,No,,,Poor,Poor,31/10/2025,No,0,Average,
62,Bayer Crop Sci.,INE462A01022,Good,-,Good,,Good,,Good,,Good,Good,0,0.038335124,14.93,14.87,14.93,,,21944.32,2850.4,5473.4,24.33937455,PET Good,F-Check Passed,0,0.07,A,EQ,22.7921361,16.7722527,11.5891506,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,28.89,Good,
64,Berger Paints,INE463A01038,Good,-,Good,,Good,,Good,,Good,Good,0,0.020684417,13.08,13.18,13.18,,,63430.51,6154.1,11544.71,28.8700376,PET Good,F-Check Passed,0,0.04,A,EQ,30.9241359,25.5630665,20.7806667,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,27.21,Good,
65,Best & Crompton,INE287A01015,Poor,-,Poor,Restricted,Poor,,Poor,,Poor,Poor,8,,100,100,100,"Mcap , Shareholders Fund , ADTO in Cr , Impact Cost , Rev , F-Score , BSE symbol downgrade , Not traded","BSE Symbol , ADTO in Cr",42.48,52.95,52.12,0.0011379,PET Good,,0,3.72,Z,EQ,0.0022758,0.0022758,0.0022758,,,,,Poor,Yes,No,No,Poor,Restricted,0,No,0,,,,,No,0,No,,,Poor,Poor,22/06/2015,Yes,0,Poor,
67,Bhagawati Oxygen,INE026I01010,Poor,Restricted,Poor,Restricted,Poor,,Poor,,Poor,Poor,6,,25.74,25.73,100,"Mcap , Shareholders Fund , ADTO in Cr , Rev , F-Score , BSE symbol downgrade",ADTO in Cr,9.59,3.97,0.81,0.004507717,PET Good,,0,,X,,0.002998929,0.005099614,0.00391582,,,,,Poor,Yes,No,No,Poor,Restricted,0,No,0,,,,,No,0,No,,,Poor,Poor,31/10/2025,No,0,Poor,Restricted
68,Bharat Bijlee,INE464A01036,Average,-,Good,,Good,,Good,,Good,Good,0,0.009606736,23,22.83,30,,,3416.82,1941.16,1901.69,17.29335565,PET Good,F-Check Passed,0,0.09,A,EQ,12.1529461,11.4068202,14.3958372,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,36.88,Good,
70,Bharat Gears,INE561C01019,Poor,-,Poor,,Poor,,Poor,,Average,Average,3,,100,100,100,"ADTO in Cr , NSE symbol downgrade , BSE symbol downgrade",,176.66,112.89,647.53,0.681965769,PET Good,F-Check Passed,0,0.54,T,BE,0.801417106,21.5686294,0.848874425,,,,,Poor,Yes,Yes,No,Poor,,1,No,2,,,,,No,1,Yes,,,Poor,Poor,31/10/2025,No,0,Average,
75,Aditya Bir.Chem.,INE605B01016,Average,-,Poor,,Poor,,Poor,,Poor,Average,2,,100,100,100,"ADTO in Cr , Not traded",,526.74,446.01,1125.7,0.301716969,PET Good,F-Check Passed,0,0.62,B,EQ,0.603433938,0.603433938,0.603433938,,,,,Poor,No,No,No,Poor,,0,No,3,,,,,No,3,No,,,Poor,Poor,13/01/2016,Yes,0,Average,
76,Bimetal Bearings,INE469A01019,Poor,-,Poor,Restricted,Poor,,Poor,,Poor,Average,3,,25,25,100,"ADTO in Cr , Impact Cost , BSE symbol downgrade",ADTO in Cr,245.12,225.52,239.08,0.046725511,PET Good,F-Check Passed,0,1.57,X,EQ,0.046341019,0.047110003,0.029850406,,,,,Poor,Yes,No,No,Poor,Restricted,0,No,2,,,,,No,0,No,,,Poor,Poor,31/10/2025,No,0,Average,
77,Birla Corpn.,INE340A01012,Good,-,Good,,Good,,Good,,Good,Good,0,0.041780901,17.13,17.14,17.14,,,9061,7015.12,10156.16,19.81533975,PET Good,F-Check Passed,0,0.11,A,EQ,23.6684641,9.35479015,15.9622154,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,31.17,Good,
79,Bliss GVS Pharma,INE416D01022,Average,-,Good,,Average,,Average,,Average,Average,0,0.008011386,23.23,23.23,30,,,1654.47,1050.38,809.73,10.62333205,PET Good,F-Check Passed,0,0.12,B,EQ,38.9071338,7.7039324,7.36082215,,,,,Good,No,No,No,Average,,3,,,,Yes,2,Upgrade,,,,,,Good,Good,31/10/2025,No,37.28,Good,
84,Bombay Burmah,INE050A01025,Good,-,Good,,Good,,Good,,Good,Good,0,0.039480418,18.98,18.97,18.98,,,13817.63,5631.74,18298.01,14.6258174,PET Good,F-Check Passed,0,0.07,A,EQ,7.8131931,9.33840925,54.7165184,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,33.01,Good,
85,Bombay Dyeing,INE032A01023,Average,-,Good,,Good,,Good,,Good,Good,0,0.009076584,21.72,21.71,30,,,3389.24,2370.89,1605.43,28.3189563,PET Good,F-Check Passed,0,0.06,A,EQ,29.4781214,30.4290158,12.762068,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,35.75,Good,
88,Reliance Infra.,INE036A01016,Poor,-,Poor,,Good,,Poor,,Good,Good,2,1.11E-05,100,100,100,"NSE symbol downgrade , BSE symbol downgrade",,8767.18,14430.2,24441.39,68.7490208,PET Good,F-Check Passed,0,0.11,T,BE,58.8795312,37.3864892,35.4208236,Downgraded_to_Poor,,,,Poor,Yes,Yes,No,Poor,,3,No,3,,,,,No,3,Yes,,,Poor,Poor,31/10/2025,No,0,Good,
90,Abbott India,INE358A01014,Good,-,Good,,Good,,Good,,Good,Good,0,0.045153856,12.62,12.56,12.62,,,61631.91,4233.15,6445.79,28.16869785,PET Good,F-Check Passed,0,0.06,A,EQ,25.9508202,32.5352416,18.3784422,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,26.53,Good,
92,Borosil Renew.,INE666D01022,Average,-,Good,,Good,,Good,,Good,Good,0,0.049212639,21.09,21.08,30,,,9009.94,997.42,1479.33,40.3872914,PET Good,F-Check Passed,0,0.33,A,EQ,21.3605614,55.449333,67.926992,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,35.12,Good,
99,CESC,INE486A01021,Good,-,Good,,Good,,Good,,Good,Good,0,0.115032562,17.27,17.2,17.27,,,23827.13,12009.72,17001.29,66.4683814,PET Good,F-Check Passed,0,0.04,A,EQ,71.5700072,35.9378372,66.7958648,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,31.24,Good,
100,Oriental Aromat.,INE959C01023,Poor,-,Average,,Poor,,Average,,Average,Average,1,,22.74,22.74,100,ADTO in Cr,,1244.17,662.96,934.72,0.698595215,PET Good,F-Check Passed,0,0.29,B,EQ,0.320465641,0.350413594,0.538313366,,,,,Average,No,No,No,Poor,,0,No,3,,,,,Yes,3,Yes,Upgrade,,Average,Average,31/10/2025,No,0,Good,
101,Caprihans India,INE479A01018,Poor,-,Poor,Restricted,Poor,,Poor,,Poor,Average,4,,25,25,100,"ADTO in Cr , Impact Cost , F-Score , BSE symbol downgrade",ADTO in Cr,169.78,456.68,751.51,0.058364161,PET Good,,0,1.62,X,EQ,0.068301444,0.048426878,0.078996088,,,,,Poor,Yes,No,No,Poor,Restricted,0,No,3,,,,,No,2,No,,,Poor,Poor,31/10/2025,No,0,Average,
102,Graphite India,INE371A01025,Good,-,Good,,Good,,Good,,Good,Good,0,0.140658437,19.89,19.87,19.89,,,12177.76,5865.9,2560.03,69.2854634,PET Good,F-Check Passed,0,0.05,A,EQ,46.3656368,31.630712,116.7810228,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,33.88,Good,
103,Carborundum Uni.,INE120A01034,Good,-,Good,,Good,,Good,,Good,Good,0,0.04212913,16.37,16.35,16.37,,,17165.13,3528.63,4894.22,17.58662278,PET Good,F-Check Passed,0,0.07,A,EQ,44.2052384,18.4885449,8.85140255,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,30.33,Good,
104,CEAT,INE482A01020,Good,-,Good,,Good,,Good,,Good,Good,0,0.05919127,18.62,18.63,18.63,,,16302.4,4368.53,13217.87,64.99017535,PET Good,F-Check Passed,0,0.06,A,EQ,38.0724748,42.3283574,219.577488,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,32.65,Good,
105,Cemindia Project,INE686A01026,Good,-,Good,,Good,,Good,,Good,Good,0,0.228527138,22.44,22.44,22.44,,,13911.36,1833.4,9096.94,49.647688,PET Good,F-Check Passed,0,0.05,A,EQ,47.9463076,51.3490684,32.622509,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,36.37,Good,
106,Century Enka,INE485A01015,Average,-,Average,,Poor,,Good,,Good,Good,1,0.006508293,19.22,19.27,30,ADTO in Cr,,1024.33,1417.55,2001.69,1.060503085,PET Good,F-Check Passed,0,0.21,B,EQ,1.08630855,0.872285841,0.553109156,,,,,Average,No,No,No,Poor,,1,No,3,,,,,Yes,3,Yes,Upgrade,,Average,Average,31/10/2025,No,35,Good,
107,A B Real Estate,INE055A01016,Good,-,Good,,Good,,Good,,Good,Good,0,0.04357875,20.5,20.5,20.5,,,20979.8,3840.26,1218.88,31.0762862,PET Good,,0,0.06,A,EQ,20.2882528,17.74507375,60.0983592,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,34.54,Good,
112,Chowgule Steam,INE490A01015,Poor,Restricted,Poor,Restricted,Poor,,Poor,,Poor,Poor,7,,25,25,100,"Mcap , Shareholders Fund , ADTO in Cr , Impact Cost , Rev , PET Check , BSE symbol downgrade",ADTO in Cr,81.59,44.52,3.88,0.014340717,,F-Check Passed,0,4.05,X,EQ,0.010605719,0.01295505,0.012950191,,,,,Poor,Yes,No,No,Poor,Restricted,0,No,0,,,,,No,0,No,,,Poor,Poor,31/10/2025,No,0,Poor,
117,DIC India,INE303A01010,Poor,-,Poor,Restricted,Poor,,Average,,Average,Average,2,,16.32,16.27,100,"ADTO in Cr , PET Check",ADTO in Cr,474.28,415.25,881.53,0.196767927,,F-Check Passed,0,0.66,B,EQ,0.290894125,0.133435906,0.132521016,,,,,Poor,No,No,No,Poor,Restricted,0,No,3,,,,,Yes,3,No,,,Poor,Poor,31/10/2025,No,0,Average,
119,Heubach Colorant,INE492A01029,Average,-,Average,,Poor,,Average,,Average,Average,1,0.000787984,15.81,15.81,30,ADTO in Cr,,1195.75,523.34,825.06,1.842548788,PET Good,F-Check Passed,0,0.12,B,EQ,1.651693181,1.913116319,0.77318815,,,,,Average,No,No,No,Poor,,2,No,3,,,,,Yes,3,Yes,Upgrade,Yes,Average,Average,31/10/2025,No,35,Good,
120,Computer Point,INE607B01012,Poor,Restricted,Poor,Restricted,Poor,,Poor,,Poor,Poor,7,,25,25,100,"Mcap , Shareholders Fund , ADTO in Cr , Rev , PET Check , F-Score , BSE symbol downgrade",ADTO in Cr,14.67,33.31,0,0.006272103,,,0,,X,,0.003746419,0.006055227,0.003391014,,,,,Poor,Yes,No,No,Poor,Restricted,0,No,0,,,,,No,0,No,,,Poor,Poor,31/10/2025,No,0,Poor,Restricted
123,Coromandel Inter,INE169A01031,Good,-,Good,,Good,,Good,,Good,Good,0,0.120855748,16.78,16.78,16.78,,,62657.46,11087.83,24085.24,133.4281522,PET Good,F-Check Passed,0,0.03,A,EQ,118.2281972,90.5545714,80.8404076,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,30.77,Good,
124,Cosmo First,INE757A01017,Average,-,Good,,Good,,Good,,Good,Good,0,0.009624337,24.01,23.97,30,,,2181.61,1466.43,2895.1,8.63914905,PET Good,F-Check Passed,0,0.18,B,EQ,9.9664014,6.43417425,4.19471385,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,38.02,Good,
127,Wyeth,INE378A01012,Poor,-,Poor,,Poor,,Poor,,Poor,Average,1,,100,100,100,Not traded,,3032.21,269.29,679.33,1.7806597,PET Good,F-Check Passed,0,0.44,,EQ,3.5613194,3.5613194,3.5613194,,,,,Poor,No,No,No,Poor,,3,No,3,,,,,No,2,Yes,,,Poor,Poor,9/12/2014,Yes,0,Average,
128,DCM,INE498A01018,Poor,-,Poor,,Poor,,Poor,,Poor,Poor,4,,21.21,21.21,100,"Shareholders Fund , ADTO in Cr , Rev , PET Check",,177.07,42.92,69.04,0.290038182,,F-Check Passed,0,0.5,B,EQ,0.20887158,0.221361589,0.127297359,,,,,Poor,No,No,No,Poor,,0,No,1,,,,,No,0,No,,,Poor,Poor,31/10/2025,No,0,Poor,
131,Dalmia Bharat,INE495A01022,Average,-,Poor,,Average,,Poor,,Average,Good,2,0.000425029,100,100,100,"PET Check , NSE symbol downgrade",,2803.74,3234.51,3745.78,4.093578825,,F-Check Passed,0,0.13,B,BE,2.54529745,4.2982491,3.507767375,,,,,Poor,No,Yes,No,Poor,,3,No,3,,,,,No,3,Yes,,,Poor,Poor,31/10/2025,No,100,Good,
134,Deccan Cements,INE583C01021,Poor,-,Average,,Average,,Average,,Average,Average,0,,20.66,20.66,100,,,1450.83,722.42,526.98,7.661774838,PET Good,F-Check Passed,0,0.26,B,EQ,8.81759245,12.2840188,6.11495235,,,,,Average,No,No,No,Average,,3,,,,Yes,1,,,,,,,Average,Average,31/10/2025,No,0,Good,
135,Deepak Fertilis.,INE501A01019,Good,-,Good,,Good,,Good,,Good,Good,0,0.062919141,21.16,21.18,21.18,,,18827.74,6236.62,10274.42,60.6487792,PET Good,F-Check Passed,4.86,0.04,A,EQ,42.4519018,46.1613476,42.9364448,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,35.23,Good,
136,Deepak Nitrite,INE288B01029,Average,-,Good,,Good,,Good,,Good,Good,0,0.024263345,15.2,15.2,30,,,23578.95,5388.67,8281.93,34.0091764,PET Good,F-Check Passed,0,0.05,A,EQ,27.0438448,56.1103204,20.3668128,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,35,Good,
