CO_CODE,CO_NAME,[ISIN_No,Current_Live_Rating,Current_Live_Restricted,As_per_new_Rules,As_per_new_Rules_-_Restricted,New_Rules_Rating_(ex_Symbol),New_Rules_Rating_(ex_Symbol)_Restricted,New_Rules_Rating_(ex_ADTO),New_Rules_Rating_(ex_ADTO)_Restricted,"New_Rules_Rating_(ex_Symbol,_ex_ADTO)",New_Rules_-_Quick_Rating,Poor_Reasons_Count,Percent_Funding,BSE_VAR_pct,NSE_VAR_pct,ANGEL_VAR_pct,Poor_Reasons,New_Rules_Restricted_Reason,Mcap,[Total_Shareholders_Funds_(Latest)],Revenue-_Latest_FY,Median6M_ADTO_in_Rs_crs,PET_Check,F-Score,Promoter_Pledge%,Impact_Cost,BSE_Series,NSE_Series,Aug_2025_ADTO_in_Rs_crs,Sep_2025_ADTO_in_Rs_crs,Oct_2025_ADTO_in_Rs_crs,Poor_Alz_Manual,Poor_Alz_Manual_Comments,Poor_to_Avg_Manual,Good_BC_to_Avg_Manual,Manual_Rating,BSE_symbol_downgrade?,NSE_symbol_downgrade?,Market_Cap/ISIN,Rating_v1_(as_per_rules),Restricted,Latest_3M_ADTO_above_thresh,All_Conditions_Met_(Except_Size)_+_50%_of_Average_Size_Criteria_Met,Meeting_Size_Criteria_Poor,Size_Exception_for_Poor_to_Average,"All_Conditions_of_Good_Met_(Except_""Good""_Size)",Size_Criteria_Average,Size_Exception_for_Average_to_Good,All_conditions_met_Except_ADTO,Size_Criteria_for_ADTO_Upgrade,ADTO_>_0.5_Cr,ADTO_Upgrade_(Poor_to_Average),ADTO_Wipsaw_Upgrade,Rating_v2_(V1_wo_adj_for_whipsaw),Rating_v2_(V1_adj_for_whipsaw),Last_Trading_Date?,Not_traded?,MTF_VAR_pct,As_per_old_Rules,As_per_old_Rules_-_Restricted
27925,Elin Electronics,INE050401020,Average,-,Average,,Average,,Good,,Good,Good,0,0.003735438,22.47,22.47,30,,,1031.17,534.17,1180.21,2.133083638,PET Good,F-Check Passed,0,0.38,B,EQ,2.069050975,5.85808805,1.525771425,,,,,Average,No,No,No,Average,,2,,,,No,1,,,,,,,Average,Average,31/10/2025,No,36.5,Good,
27926,Gokak Textiles,INE642I01014,Poor,Restricted,Poor,Restricted,Poor,,Poor,,Poor,Poor,5,,25,25,100,"Mcap , Shareholders Fund , ADTO in Cr , Rev , BSE symbol downgrade",ADTO in Cr,55.24,-9,98.47,0.010155242,PET Good,F-Check Passed,0,,X,,0.011082134,0.010254818,0.010830171,,,,,Poor,Yes,No,No,Poor,Restricted,0,No,0,,,,,No,0,No,,,Poor,Poor,31/10/2025,No,0,Poor,
27966,Teamo Production,INE065J01024,Poor,-,Poor,,Poor,,Poor,,Poor,Poor,3,,23.26,23.24,100,"Mcap , ADTO in Cr , Rev",,73.45,135.96,64.8,0.201824971,PET Good,F-Check Passed,0,0.89,B,EQ,0.110131691,0.241689382,0.221713372,,,,,Poor,No,No,No,Poor,,0,No,0,,,,,No,0,No,,,Poor,Poor,31/10/2025,No,0,Poor,
27985,GSS Infotech,INE871H01011,Poor,-,Poor,,Poor,,Poor,,Poor,Poor,4,,23.71,23.71,100,"Mcap , ADTO in Cr , Rev , PET Check",,64.48,349.73,125.17,0.447261182,,F-Check Passed,0,0.76,B,EQ,1.157222875,0.256532797,0.158085787,,,,,Poor,No,No,No,Poor,,1,No,1,,,,,No,1,No,,,Poor,Poor,31/10/2025,No,0,Poor,
27987,Man Infra,INE949H01023,Poor,-,Poor,,Good,,Good,,Good,Good,0,,18.72,18.71,100,,,6010.59,1763.45,1108.07,10.49998548,PET Good,F-Check Passed,0,0.08,A,EQ,8.31074995,6.45132455,3.881687725,Downgraded_to_Poor,https://economictimes.indiatimes.com/markets/stocks/news/sebi-slaps-rs-10-crore-fine-on-3-promoters-of-man-industries/articleshow/67258712.cms?from=mdr,,,Poor,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,0,Good,
27989,Rushil Decor,INE573K01025,Poor,-,Average,,Average,,Average,,Average,Average,0,,23.22,23.61,100,,,780.78,632.57,897.94,3.16652565,PET Good,F-Check Passed,0,0.3,B,EQ,4.46273725,9.1345354,1.534635388,,,,,Average,No,No,No,Average,,3,,,,No,1,,,,,,,Average,Average,31/10/2025,No,0,Good,
28003,Kaveri Seed Co.,INE455I01029,Average,-,Average,,Average,,Average,,Average,Good,0,0.01310093,19.77,19.78,30,,,5343.75,1499.16,1204.97,18.9654459,,F-Check Passed,0,0.08,A,EQ,19.5019952,11.3363198,6.342620825,,,,,Average,No,No,No,Average,,3,,,,No,2,,,,,,,Average,Average,31/10/2025,No,35,Good,
28009,K P R Mill Ltd,INE930H01031,Average,-,Good,,Good,,Good,,Good,Good,0,0.005897481,18.63,18.62,30,,,36577.52,5002,6387.88,44.54436515,PET Good,F-Check Passed,0,0.07,A,EQ,42.9928395,41.8519908,26.8196533,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,35,Good,
28011,Motil.Oswal.Fin.,INE338I01027,Good,-,Good,,Good,,Good,,Good,Good,0,0.201814682,23.34,22.58,23.34,,,58693.77,11079.33,8339.54,175.545128,PET Good,F-Check Passed,0,0.05,A,EQ,84.8844116,75.9274424,171.0231824,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,36.5,Good,
28013,Maan Aluminium,INE215I01027,Poor,-,Poor,,Poor,,Poor,,Poor,Average,2,,24.38,24.46,100,"ADTO in Cr , Impact Cost",,753.4,178.44,823.14,1.006541847,PET Good,F-Check Passed,0,1.03,B,EQ,0.282148838,0.335390697,4.295375875,,,,,Poor,No,No,No,Poor,,1,No,3,,,,,No,2,Yes,,,Poor,Poor,31/10/2025,No,0,Average,
28015,Niraj Cement,INE368I01016,Poor,Restricted,Poor,Restricted,Poor,,Poor,,Poor,Average,3,,26.99,26.99,100,"ADTO in Cr , Impact Cost , PET Check",ADTO in Cr,190.01,243.22,507.14,0.183146908,,F-Check Passed,0,1.36,B,EQ,0.097478747,0.256887769,0.697130981,,,,,Poor,No,No,No,Poor,Restricted,0,No,3,,,,,No,0,No,,,Poor,Poor,31/10/2025,No,0,Poor,
28041,Burnpur Cement,INE817H01014,,,Poor,Restricted,Poor,,Poor,,Poor,Poor,8,,,,,"Mcap , Shareholders Fund , ADTO in Cr , Impact Cost , Rev , PET Check , F-Score , Not traded",ADTO in Cr,58.82,-494.41,0,0.144870622,,,0,2.03,B,EQ,0.144870622,0.465468925,0.465468925,,,,,Poor,No,No,No,Poor,Restricted,0,No,0,,,,,No,0,No,,,Poor,Poor,19/09/2024,Yes,,Poor,
28049,Kiri Industries,INE415I01015,Good,-,Poor,,Poor,,Poor,,Poor,Average,1,0.11612084,21.88,21.9,21.9,Promoter Pledge%,,3212.11,3246.63,740.03,17.5500996,PET Good,F-Check Passed,62.85,0.08,B,EQ,12.35826655,19.5335329,15.5666663,,,,,Poor,No,No,No,Poor,,3,No,3,,,,,No,3,Yes,,,Poor,Poor,31/10/2025,No,35.9,Good,
28067,Brahmaputra Inf.,INE320I01017,Poor,Restricted,Poor,,Poor,,Poor,,Poor,Average,4,,23.22,23.24,100,"ADTO in Cr , Promoter Pledge% , PET Check , BSE symbol downgrade",,282.23,255.94,219.9,0.367037013,,F-Check Passed,100,,X,,0.8632377,0.312973675,0.174202113,,,,,Poor,Yes,No,No,Poor,,0,No,2,,,,,No,0,No,,,Poor,Poor,31/10/2025,No,0,Poor,
28069,ZF Commercial,INE342J01019,Good,-,Good,,Good,,Good,,Good,Good,0,0.021259788,16.46,16.47,16.47,,,23607.19,3214.54,3830.96,14.37747523,PET Good,F-Check Passed,0,0.08,A,EQ,15.159735,15.47952338,13.59521545,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,30.42,Good,
28071,Neueon Towers,INE333I01036,Poor,Restricted,Poor,Restricted,Poor,,Poor,,Poor,Poor,10,,100,0,100,"Mcap , ADTO in Cr , Promoter Pledge% , Impact Cost , Rev , PET Check , F-Score , NSE symbol downgrade , BSE symbol downgrade , Not traded","BSE Symbol , NSE Symbol , ADTO in Cr",28.84,946.97,5.4,0.029003775,,,99.99,5,Z,BZ,0.029003775,0.029003775,0.029003775,,,,,Poor,Yes,Yes,No,Poor,Restricted,0,No,1,,,,,No,1,No,,,Poor,Poor,2/12/2024,Yes,0,Poor,Restricted
28131,Capital Small,INE646H01017,Average,-,Average,,Poor,,Average,,Average,Average,1,0.000608873,14.24,14.17,30,ADTO in Cr,,1278.88,1340.14,908.5,1.320660203,PET Good,F-Check Passed,0,0.2,B,EQ,1.624933631,0.820192138,1.24394065,,,,,Average,No,No,No,Poor,,2,No,3,,,,,Yes,3,Yes,Upgrade,Yes,Average,Average,31/10/2025,No,35,Good,
28150,Religare Enterp.,INE621H01010,Average,-,Good,,Good,,Good,,Good,Good,0,0.006189946,18.78,18.78,30,,,8743.5,2515.82,7385.14,37.32064845,PET Good,F-Check Passed,0,0.08,A,EQ,34.378605,45.1986852,40.2626919,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,32.82,Good,
28152,Crane Infra,INE176L01017,Poor,Restricted,Poor,Restricted,Poor,,Poor,,Poor,Poor,5,,27.99,27.99,100,"Mcap , Shareholders Fund , ADTO in Cr , Rev , BSE symbol downgrade",ADTO in Cr,12.65,30.15,1.37,0.007966432,PET Good,F-Check Passed,0,,X,,0.007304919,0.008627945,0.011390634,,,,,Poor,Yes,No,No,Poor,Restricted,0,No,0,,,,,No,0,No,,,Poor,Poor,31/10/2025,No,0,Poor,Restricted
28174,Telogica,INE778I01024,Poor,Restricted,Poor,Restricted,Poor,,Poor,,Poor,Poor,5,,25,25,100,"Mcap , Shareholders Fund , ADTO in Cr , Rev , BSE symbol downgrade",ADTO in Cr,42.15,13.27,19.28,0.019508778,PET Good,F-Check Passed,0,,X,,0.017802223,0.062199244,0.0264388,,,,,Poor,Yes,No,No,Poor,Restricted,0,No,0,,,,,No,0,No,,,Poor,Poor,31/10/2025,No,0,Poor,Restricted
28183,Bang Overseas,INE863I01016,Poor,-,Poor,Restricted,Poor,,Poor,,Poor,Poor,7,,25,25,100,"Mcap , Shareholders Fund , ADTO in Cr , Impact Cost , Rev , PET Check , F-Score",ADTO in Cr,76.6,87.1,188.83,0.145569775,,,0,2.13,B,EQ,0.050657939,0.157778606,0.206818151,,,,,Poor,No,No,No,Poor,Restricted,0,No,0,,,,,No,0,No,,,Poor,Poor,31/10/2025,No,0,Poor,
